Name	Type	SQL
L2_РЭУ	0	PARAMETERS [введите РЭУ] IEEEDouble; | SELECT L2.obl, L2.obli1, L2.oblk, def.Dwork, def.DN, isb.РЭУ, L2.pwork, isb.Dwork, min2(Abs(min2(1,Abs([Pwork]/def!DN))*def!d),isb!Dwork) AS s, L2.id1, L2.id2 | FROM (L2 INNER JOIN Дефициты_год AS def ON L2.obl = def.obl) INNER JOIN Дефициты_год AS isb ON (L2.oblk = isb.obl) AND (L2.year = isb.year) | WHERE (((isb.Dwork)>0)) | ORDER BY min2(Abs(min2(1,Abs([Pwork]/def!DN))*def!d),isb!Dwork) DESC; | 
L3	0	SELECT [L2].[year], [L2].[obl], [L2].[obli1] AS obli1, [L2].[oblk] AS obli2, IIf([obl1]=[L2]![oblk],[obl2],[obl1]) AS oblk, (min2([pwork1],[L2]![pwork])) AS pwork, [L2].[id1], [L2].[id2], [Перетоки].[id] AS id3, IIf([Перетоки]![pwork] Is Null,IIf([obl1]=[L2]![oblk],[pinv],[p]),[Перетоки]![pwork]) AS pwork1, [L2].[oes], IIf([obl1]=[l2]![oblk],Sgn([t]),-Sgn([t])) AS dir | FROM L2, Перетоки | WHERE ((([L2].[oblk])=[obl1] Or ([L2].[oblk])=[obl2]) And ((IIf([obl1]=[L2]![oblk],[obl2],[obl1]))<>[obl] A...
L3_РЭУ	0	PARAMETERS [введите РЭУ] IEEEDouble; | SELECT L3.obl, L3.obli1, L3.obli2, L3.oblk, def.Dwork, def.DN, isb.РЭУ, L3.pwork, isb.Dwork, min2(Abs(min2(1,Abs([Pwork]/def!DN))*def!d),isb!Dwork) AS s, L3.id1, L3.id2, L3.id3 | FROM (L3 INNER JOIN Дефициты_год AS def ON L3.obl = def.obl) INNER JOIN Дефициты_год AS isb ON (L3.oblk = isb.obl) AND (L3.year = isb.year) | WHERE (((isb.Dwork)>0)) | ORDER BY min2(Abs(min2(1,Abs([Pwork]/def!DN))*def!d),isb!Dwork) DESC; | 
L4	0	SELECT [L3].[year], [L3].[obl], [L3].[obli1] AS obli1, [L3].[obli2] AS obli2, [L3].[oblk] AS obli3, IIf([obl1]=[L3]![oblk],[obl2],[obl1]) AS oblk, (min2([pwork1],[L3]![pwork])) AS pwork, [L3].[id1], [L3].[id2], [L3].[id3], [Перетоки].[id] AS id4, IIf([Перетоки]![pwork] Is Null,IIf([obl1]=[L3]![oblk],[pinv],[p]),[Перетоки]![pwork]) AS pwork1, IIf([obl1]=[l3]![oblk],Sgn([t]),-Sgn([t])) AS dir | FROM L3, Перетоки | WHERE ((([L3].[oblk])=[obl1] Or ([L3].[oblk])=[obl2]) And ((IIf([obl1]=[L3]![oblk],[...
L4_РЭУ	0	PARAMETERS [введите РЭУ] IEEEDouble; | SELECT L4.obl, L4.obli1, L4.obli2, L4.oblk, L4.obli3, def.Dwork, def.DN, isb.РЭУ, L4.pwork, isb.Dwork, min2(Abs(min2(1,Abs([Pwork]/def!DN))*def!d),isb!Dwork) AS s, L4.id1, L4.id2, L4.id3, L4.id4 | FROM (L4 INNER JOIN Дефициты_год AS def ON L4.obl = def.obl) INNER JOIN Дефициты_год AS isb ON (L4.year = isb.year) AND (L4.oblk = isb.obl) | WHERE (((isb.Dwork)>0)) | ORDER BY min2(Abs(min2(1,Abs([Pwork]/def!DN))*def!d),isb!Dwork) DESC; | 
link	0	SELECT [Имена_станций].[NUMB], IIf([main] Is Null,[numb],[main]) AS link | FROM Имена_станций; | 
Nr_в_дефициты	48	UPDATE (((Дефициты LEFT JOIN АЭС_исх ON [Дефициты].[obl]=[АЭС_исх].[reu]) LEFT JOIN ГЭС_исх ON [Дефициты].[obl]=[ГЭС_исх].[reu]) LEFT JOIN ГАЭС_исх ON [Дефициты].[obl]=[ГАЭС_исх].[reu]) LEFT JOIN [Сумма_по_областям(таблица)] ON ([Дефициты].[year]=[Сумма_по_областям(таблица)].[YEAR]) AND ([Дефициты].[obl]=[Сумма_по_областям(таблица)].[OBL]) SET Дефициты.Nr = Z([АЭС_исх]![2010])+Z([ГЭС_исх]![2010])+z([ГАЭС_исх]![2010])+z([Сумма_по_областям(таблица)]![NR]) | WHERE ((([Дефициты].[year])=2010) And ((...
Nust_в_дефициты	48	UPDATE (((Дефициты LEFT JOIN АЭС_исх ON [Дефициты].[obl]=[АЭС_исх].[reu]) LEFT JOIN ГЭС_исх ON [Дефициты].[obl]=[ГЭС_исх].[reu]) LEFT JOIN ГАЭС_исх ON [Дефициты].[obl]=[ГАЭС_исх].[reu]) LEFT JOIN [Сумма_по_областям(таблица)] ON ([Дефициты].[year]=[Сумма_по_областям(таблица)].[YEAR]) AND ([Дефициты].[obl]=[Сумма_по_областям(таблица)].[OBL]) SET Дефициты.Nust = Z([АЭС_исх]![2020])+Z([ГЭС_исх]![2020])+z([ГАЭС_исх]![2020])+z([Сумма_по_областям(таблица)]![Nust]) | WHERE ((([Дефициты].[year])=2020) An...
Source	0	SELECT DISTINCTROW Составные_станции.* | FROM Составные_станции; | 
stcodeopes	48	UPDATE Списки_агрегатов INNER JOIN [ОПЭС-ОТЭТ] ON [Списки_агрегатов].[stcode]=[ОПЭС-ОТЭТ].[ОТЭТ] SET Списки_агрегатов.stcodeopes = [ОПЭС-ОТЭТ]![ОПЭС] | WHERE ((([Списки_агрегатов].[stcodeopes]) Is Null Or ([Списки_агрегатов].[stcodeopes])=0)); | 
TmprryQryFrLnkFldsCrtn0123456789	0	SELECT; | 
TURT_2018	0	SELECT [Станции(Схема)].NUMB1120, [Станции(Схема)].Q, [Станции(Схема)].TURT, [Станции(Схема)].Year | FROM [нет TURT] INNER JOIN [Станции(Схема)] ON [нет TURT].numb1120 = [Станции(Схема)].NUMB1120 | WHERE ((([Станции(Схема)].Q)>0) AND (([Станции(Схема)].TURT)>0) AND (([Станции(Схема)].Year)=2018)) OR ((([Станции(Схема)].Q)>0) AND (([Станции(Схема)].Year)=2029)) | ORDER BY [Станции(Схема)].numb1, [Станции(Схема)].Year; | 
Update	48	UPDATE DISTINCTROW Destination INNER JOIN Source ON (Destination.YEAR = Source.YEAR) AND (Destination.NUMB1120 = Source.NUMB1120) SET Destination.NUST = [source]![NUST], Destination.NR = [source]![NR], Destination.E = [source]![E], Destination.EOTP = [source]![Eotp], Destination.EURT = [source]![Eurt], Destination.EUST = [source]![Eust], Destination.Q = [source]![q], Destination.TURT = [source]![turt], Destination.TUST = [source]![tust], Destination.B = [source]![b], Destination.GAZ = [source]![...
Update(dop)	48	UPDATE DISTINCTROW Destination INNER JOIN Source ON (Destination.YEAR = Source.YEAR) AND (Destination.NUMB1120 = Source.NUMB1120) SET Destination.nazar = [Source]![nazar], Destination.ibor = [Source]![ibor], Destination.berez = [Source]![berez], Destination.gusin = [Source]![gusin], Destination.tugn = [Source]![tugn], Destination.azey = [Source]![azey], Destination.cher = [Source]![cher], Destination.vork = [Source]![vork], Destination.[int] = [Source]![int], Destination.sver = [Source]![sver], ...
Updatebase	48	UPDATE DISTINCTROW [Станции(схема)] AS d INNER JOIN (vartobase INNER JOIN Станции2024 AS s ON vartobase.link = s.NUMB1120) ON d.NUMB1120 = vartobase.NUMB1120 SET d.[YEAR] = s!Year, d.NUST = s!NUST, d.E = s!E, d.EOTP = s!Eotp, d.EURT = s!Eurt, d.EUST = s!Eust, d.Q = s!q, d.TURT = s!turt, d.TUST = s!tust, d.B = s!b, d.GAZ = s!gaz, d.ISK_GAZ = s!isk_gaz, d.MAZUT = s!mazut, d.TORF = s!torf, d.SLAN = s!slan, d.PROCH = s!proch, d.UGOL = s!ugol, d.DON = s!don, d.PODM = s!podm, d.PECH = s!pech, d.KUZN =...
Updatebase(dop)	48	UPDATE DISTINCTROW ([Доп_угли(схема)] AS d INNER JOIN vartobase ON d.NUMB1120 = vartobase.NUMB1120) INNER JOIN Доп_угли2024 AS s ON vartobase.link = s.NUMB1120 SET d.[YEAR] = s!Year, d.gazpp = S.gazpp, d.gaz_prir = S.gaz_prir, d.disel = S.disel, d.maztop = S.maztop, d.gtt = S.gtt, d.nft_proch = S.nft_proch, d.koks_g = S.koks_g, d.domen_g = S.domen_g, d.prochgaz = S.prochgaz, d.tvproch = S.tvproch, d.szh_gaz = S.szh_gaz, d.inoe = S.inoe, d.nazar = S.nazar, d.ibor = S.ibor, d.berez = S.berez, d.pe...
vartobase	0	SELECT d.NUMB1120, IIf(s!VED>0,s!NUMB1120,[main]) AS link, Имена_станций.R, d.Year, s.Year | FROM ([Станции(Схема)] AS d LEFT JOIN Станции2024 AS s ON d.NUMB1120 = s.NUMB1120) INNER JOIN Имена_станций ON d.NUMB1120 = Имена_станций.NUMB | WHERE (((Имена_станций.R)=1) AND ((d.Year)=2024) AND ((s.Year)=2024 Or (s.Year) Is Null)) OR (((Имена_станций.R)=0 Or (Имена_станций.R) Is Null) AND ((d.Year)=2024) AND ((s.Year)=2024 Or (s.Year) Is Null)); | 
Агрегаты_Катя	0	SELECT Списки_агрегатов_Катя.*, * | FROM Списки_агрегатов_Катя | WHERE (((Списки_агрегатов_Катя.oes)=1 Or (Списки_агрегатов_Катя.oes)=3 Or (Списки_агрегатов_Катя.oes)=4)); | 
Агрегаты_ЛБ	0	SELECT Списки_агрегатов_ЛБ.*, * | FROM Списки_агрегатов_ЛБ | WHERE (((Списки_агрегатов_ЛБ.oes)=6 Or (Списки_агрегатов_ЛБ.oes)=7)); | 
Анализ загрузки	16	TRANSFORM Sum([E])/Sum([nust])*1000 AS h | SELECT Имена_станций.NAME, [Удельные(Схема)].Bk | FROM (Имена_станций INNER JOIN [Станции(Схема)] ON Имена_станций.NUMB = [Станции(Схема)].NUMB1120) INNER JOIN [Удельные(Схема)] ON [Станции(Схема)].NUMB1120 = [Удельные(Схема)].numb1120 | WHERE (((Имена_станций.OES)=3) AND (([Станции(Схема)].YEAR)=2020 Or ([Станции(Схема)].YEAR)=2025) AND (([Станции(Схема)].NUST)>0) AND (([Станции(Схема)].OBOR)<>10 And ([Станции(Схема)].OBOR)<>9 And ([Станции(Схема)].OBO...
АПБ в базу	48	UPDATE [Станции(Схема)] INNER JOIN АПБ_2009 ON [Станции(Схема)].NUMB1120 = АПБ_2009.ОТЭТ SET [Станции(Схема)].E = ([e1-10]+[e11]+[e12])/1000 | WHERE ((([Станции(Схема)].YEAR)=2009) AND (([Станции(Схема)].OES)=7)); | 
АПБ-Е	0	SELECT АПБ_2009.name, (Z([e1-10])+z([e11])+Z([e12]))/1000 AS Выражение1, АПБ_2009.ОТЭТ | FROM АПБ_2009; | 
АПБ-ОТЭТ_сравнение	0	SELECT АПБ_выработка.name, АПБ_выработка.e AS ЭАПБ, [АПБ-ОТЭТ_Эсум].[Sum-E] AS ЭОТЭТ | FROM АПБ_выработка INNER JOIN [АПБ-ОТЭТ_Эсум] ON АПБ_выработка.code = [АПБ-ОТЭТ_Эсум].АПБ | ORDER BY АПБ_выработка.code; | 
АПБ-ОТЭТ_Эсум	0	SELECT First([АПБ-ОТЭТ].name) AS [First-name], [АПБ-ОТЭТ].АПБ, Sum([Станции(Схема)].E) AS [Sum-E] | FROM [АПБ-ОТЭТ] INNER JOIN [Станции(Схема)] ON [АПБ-ОТЭТ].ОТЭТ = [Станции(Схема)].NUMB1120 | WHERE ((([Станции(Схема)].YEAR)=2009)) | GROUP BY [АПБ-ОТЭТ].АПБ | HAVING ((([АПБ-ОТЭТ].АПБ)>0)); | 
АЭС_в_дефициты	48	UPDATE Дефициты INNER JOIN АЭС ON Дефициты.obl = АЭС.reu SET Дефициты.Eаэс = [АЭС]![2030] | WHERE (((Дефициты.year)=2030)); | 
Вводы_на_действующих	0	SELECT Nust0320.[Max-NAME], Nust0320.numb1, Nust0320.[2003], Nust0320.[2020] | FROM Nust0320 | WHERE (((Nust0320.[2003])>0) AND ((Nust0320.[2020])>[2003]*1.2)) | ORDER BY Nust0320.numb1; | 
Вставки_в_натуру	64	INSERT INTO Натура99 ( NAME, [YEAR], NUMB1120, NUMB1, OBL, DEP, OES, ER ) | SELECT [Вставки в натуру].[NAME], 2006 AS Выражение1, [Вставки в натуру].[NUMB], [Вставки в натуру].[ordnumb], [Имена_станций].[OBL], [Имена_станций].[DEP], [Имена_станций].[OES], [Имена_станций].[ER] | FROM [Вставки в натуру] INNER JOIN Имена_станций ON [Вставки в натуру].[ordnumb]=[Имена_станций].[ordnumb]; | 
Вставки_в_натуру(таблица)	80	SELECT [Имена_станций].[NAME], [Имена_станций].[NUMB], [Имена_станций].[ordnumb] INTO [Вставки в натуру] | FROM ([Станции(Схема)] LEFT JOIN Натура99 ON ([Станции(Схема)].[YEAR]=[Натура99].[YEAR]) AND ([Станции(Схема)].[NUMB1120]=[Натура99].[NUMB1120])) INNER JOIN Имена_станций ON [Станции(Схема)].[NUMB1120]=[Имена_станций].[NUMB] | WHERE ((([Станции(Схема)].[YEAR])=2006) And (([Станции(Схема)].[UGOL])>0) And (([Натура99].[NUMB1120]) Is Null)) | ORDER BY [Имена_станций].[ordnumb]; | 
Выборка_распределений	0	SELECT [Параметры-распределения].[name], [Параметры-распределения].[filter] | FROM [Параметры-распределения] | GROUP BY [Параметры-распределения].[name], [Параметры-распределения].[filter]; | 
Выбросы ЗВ и данные из СиПР	0	SELECT Имена_округов.name, [Станции_для_сводной(Схема)].nameoes, [Станции_для_сводной(Схема)].oblname, [Станции_для_сводной(Схема)].namegk, [Станции_для_сводной(Схема)].filial, [Станции_для_сводной(Схема)].NAME, [Станции_для_сводной(Схема)].Year, [Станции_для_сводной(Схема)].NUMB1120, [Станции_для_сводной(Схема)].NUST, [Выбросы ЗВ].VIBROS_ekol, [Выбросы ЗВ].TVERD_V, [Выбросы ЗВ].[GAZ and ZHID], [Выбросы ЗВ].SO2_gaz, [Выбросы ЗВ].CO_gaz, [Выбросы ЗВ].NOx_gaz, [Выбросы ЗВ].UGLEVOD, [Выбросы ЗВ].LO...
Выбросы ПГ и данные из СиПР	0	SELECT Имена_округов.name, [Станции_для_сводной(Схема)].nameoes, [Станции_для_сводной(Схема)].namegk, [Станции_для_сводной(Схема)].filial, [Станции_для_сводной(Схема)].NAME, [Станции_для_сводной(Схема)].NUMB1120, [Станции_для_сводной(Схема)].Year, [Станции_для_сводной(Схема)].NUST, [Станции_для_сводной(Схема)].E, [Станции_для_сводной(Схема)].Q, IIf([GAZ]>0,[GAZ]*1000,0) AS gaznat_6tp, IIf([koksdom]>0,[koksdom]*1000,0) AS koksdom_6tp, IIf([prochgaz]>0,[prochgaz]*1000,0) AS prochgaz_6tp, [gaznat_6...
Выработка ээ по обл	0	SELECT [Станции(Схема)].[OES], [Имена_областей].[NAME], [Станции(Схема)].[YEAR], Sum([Станции(Схема)].[E]) AS [Sum-E] | FROM [Станции(Схема)] INNER JOIN Имена_областей ON [Станции(Схема)].[OBL]=[Имена_областей].[OBL] | WHERE ((([Станции(Схема)].[VED])>0)) | GROUP BY [Станции(Схема)].[OES], [Имена_областей].[NAME], [Станции(Схема)].[YEAR]; | 
ГАЭС_в_дефициты	48	UPDATE Дефициты INNER JOIN ГАЭС ON Дефициты.obl = ГАЭС.reu SET Дефициты.Eгаэс = [ГАЭС]![2030] | WHERE (((Дефициты.year)=2030)); | 
Ген_схема_2005	0	SELECT [Списки_агрегатов].[stname], Count([Списки_агрегатов].[name]) AS N, [Списки_агрегатов].[name], Sum([Списки_агрегатов].[2005]) AS 2005, [Списки_агрегатов].[stcode] | FROM Списки_агрегатов INNER JOIN Ген_схема_500 ON [Списки_агрегатов].[stcode]=[Ген_схема_500].[stcode] | WHERE ((([Списки_агрегатов].[2005])>0) And (([Списки_агрегатов].[ur])=1)) | GROUP BY [Списки_агрегатов].[stname], [Списки_агрегатов].[name], [Списки_агрегатов].[stcode]; | 
Ген_схема_2005_оборуд	0	SELECT [Списки_агрегатов].[stname], Count([Списки_агрегатов].[name]) AS N, First([Списки_агрегатов].[stnumb]) AS [First-stnumb], Avg([Списки_агрегатов].[year]) AS [Avg-year], [Списки_агрегатов].[name], [Списки_агрегатов].[stcode], [Имена_станций].[OES], [Имена_станций].[ordnumb] | FROM (Списки_агрегатов INNER JOIN Ген_схема_500 ON [Списки_агрегатов].[stcode]=[Ген_схема_500].[stcode]) INNER JOIN Имена_станций ON [Ген_схема_500].[stcode]=[Имена_станций].[NUMB] | WHERE ((([Списки_агрегатов].[ur])=1...
Ген_схема_2010	0	SELECT [Списки_агрегатов].[stname], Count([Списки_агрегатов].[name]) AS N, [Списки_агрегатов].[name], Sum([Списки_агрегатов].[2010]) AS 2010, [Списки_агрегатов].[stcode] | FROM Списки_агрегатов INNER JOIN Ген_схема_500 ON [Списки_агрегатов].[stcode]=[Ген_схема_500].[stcode] | WHERE ((([Списки_агрегатов].[2010])>0) And (([Списки_агрегатов].[ur])=1)) | GROUP BY [Списки_агрегатов].[stname], [Списки_агрегатов].[name], [Списки_агрегатов].[stcode] | HAVING (((Sum(Списки_агрегатов.[2010]))>0)); | 
Ген_схема_2015	0	SELECT [Списки_агрегатов].[stname], Count([Списки_агрегатов].[name]) AS N, [Списки_агрегатов].[name], Sum([Списки_агрегатов].[2015]) AS 2015, [Списки_агрегатов].[stcode] | FROM Списки_агрегатов INNER JOIN Ген_схема_500 ON [Списки_агрегатов].[stcode]=[Ген_схема_500].[stcode] | WHERE ((([Списки_агрегатов].[2015])>0) And (([Списки_агрегатов].[ur])=1)) | GROUP BY [Списки_агрегатов].[stname], [Списки_агрегатов].[name], [Списки_агрегатов].[stcode] | HAVING (((Sum(Списки_агрегатов.[2015]))>0)); | 
Ген_схема_2020	0	SELECT [Списки_агрегатов].[stname], Count([Списки_агрегатов].[name]) AS N, [Списки_агрегатов].[name], Sum([Списки_агрегатов].[2020]) AS 2020, [Списки_агрегатов].[stcode] | FROM Списки_агрегатов INNER JOIN Ген_схема_500 ON [Списки_агрегатов].[stcode]=[Ген_схема_500].[stcode] | WHERE ((([Списки_агрегатов].[2020])>0)) | GROUP BY [Списки_агрегатов].[stname], [Списки_агрегатов].[name], [Списки_агрегатов].[stcode], [Списки_агрегатов].[ur] | HAVING (((Sum(Списки_агрегатов.[2020]))>0) AND ((Списки_агрег...
Ген_схема_500	0	SELECT [Станции(Схема)].NUMB1120 AS stcode | FROM [Станции(Схема)] INNER JOIN Имена_станций ON [Станции(Схема)].NUMB1120 = Имена_станций.NUMB | WHERE ((([Станции(Схема)].VED)<3 Or ([Станции(Схема)].VED) Is Null) AND (([Станции(Схема)].NUST)>=500) AND ((Имена_станций.MAIN) Is Null)) | GROUP BY [Станции(Схема)].NUMB1120; | 
Ген_схема_все_годы	0	SELECT Ген_схема_2005_оборуд.stname, Ген_схема_2005_оборуд.stcode, l2005.N, IIf(l2005!N>0,l2005!name,Null) AS об_2005, l2005.[2005], l2010.N, IIf(l2010!N>0,l2010!name,Null) AS об_2010, l2010.[2010], l2015.N, IIf(l2015!N>0,l2015!name,Null) AS об_2015, l2015.[2015], l2020.N, IIf(l2020!N>0,l2020!name,Null) AS об_2020, l2020.[2020], Имена_станций.addr, Ген_схема_2005_оборуд.[First-stnumb] | FROM ((((Ген_схема_2005_оборуд LEFT JOIN Ген_схема_2005 AS l2005 ON (Ген_схема_2005_оборуд.name = l2005.name) ...
ГК_в_станции	48	UPDATE [Станции(Схема)] INNER JOIN Имена_станций ON [Станции(Схема)].NUMB1120 = Имена_станций.NUMB SET [Станции(Схема)].BE = [Имена_станций]![BE], [Станции(Схема)].GK = [Имена_станций]![GK]; | 
Группы без турбин	0	SELECT Имена_станций.NAME, Имена_станций.ordnumb | FROM ([Станции(Схема)] LEFT JOIN Списки_агрегатов ON [Станции(Схема)].NUMB1120 = Списки_агрегатов.grcode) INNER JOIN Имена_станций ON [Станции(Схема)].NUMB1120 = Имена_станций.NUMB | WHERE ((([Станции(Схема)].YEAR)<2012) AND (([Станции(Схема)].NUST)>0) AND ((Списки_агрегатов.grcode)=0 Or (Списки_агрегатов.grcode) Is Null) AND (([Станции(Схема)].VED)>0)) | GROUP BY Имена_станций.NAME, Имена_станций.ordnumb | ORDER BY Имена_станций.ordnumb; | 
ГЭС_в_дефициты	48	UPDATE Дефициты INNER JOIN ГЭС ON Дефициты.obl = ГЭС.reu SET Дефициты.Eгэс = [ГЭС]![2030] | WHERE (((Дефициты.year)=2030)); | 
Действующие ГЭС_свыше_100_МВт	0	SELECT Имена_областей.OES, Имена_станций_не_ТЭС.nreu, Мощности_не_ТЭС.IMST, Мощности_не_ТЭС.NST, Имена_станций_не_ТЭС.type, Мощности_не_ТЭС.[2009] | FROM (Мощности_не_ТЭС INNER JOIN Имена_станций_не_ТЭС ON Мощности_не_ТЭС.NST = Имена_станций_не_ТЭС.NST) INNER JOIN Имена_областей ON Имена_станций_не_ТЭС.obl = Имена_областей.OBL | WHERE (((Имена_станций_не_ТЭС.type)=10 Or (Имена_станций_не_ТЭС.type)=20) AND ((Мощности_не_ТЭС.[2009])>=100)) | ORDER BY Имена_областей.OES, Имена_станций_не_ТЭС.nreu; ...
Департаменты(всего-и-по-вед)	0	SELECT DISTINCTROW [Имена-итогов].NUMB1, First([Имена-итогов].NAME) AS NAME, [Рабочий(станции)].DEP, [Рабочий(станции)].YEAR, Sum([Рабочий(станции)].NUST) AS NUST, Sum([Рабочий(станции)].E) AS E, Sum([Рабочий(станции)].EOTP) AS EOTP, IIf([EOTP]>0,[EUST]/[EOTP]*1000,0) AS EURT, Sum([Рабочий(станции)].EUST) AS EUST, Sum([Рабочий(станции)].Q) AS Q, IIf([Q]>0,[TUST]/[Q]*1000,0) AS TURT, Sum([Рабочий(станции)].TUST) AS TUST, Sum([Рабочий(станции)].B) AS B, Sum([Рабочий(станции)].GAZ) AS GAZ, Sum([Раб...
Дефицит_мощности	0	SELECT Дефициты.РЭУ, Z([Nust])-Z([NнеТЭС])-z([Nmaxsob]) AS DN | FROM Дефициты; | 
Дефициты_год	0	SELECT Дефициты.* | FROM Дефициты | WHERE (((Дефициты.oes)=[ОЭС]) AND ((Дефициты.year)=[год])) | ORDER BY Дефициты.pr DESC , Дефициты.РЭУ; | 
Дефициты_макс	0	SELECT [Дефициты].[РЭУ], [Дефициты].[D], [Eпотр]*1000/8.76*1.3 AS Emax, [Nr]-[Emax] AS Dmax | FROM Дефициты | WHERE ((([Дефициты].[year])=2010) And (([Дефициты].[oes])=2)); | 
Дефициты_расчет_D	48	UPDATE Дефициты SET Дефициты.D = (z([e])+z([Eгэс])+z([Eгаэс])+z([Eни])+z([EАЭС]*1000)-z([Eэксп])-z([Eпотр]*1000))/8.76, Дефициты.Dmax = Z([Nr])-Z([Eпотр])*1000/8.76*1.3, Дефициты.DN = IIf(z([e])=0 Or z([eпотр])=0,[d],[d]*1.3); | 
